Title,DOI_URL,Venue,Year,Authors,Abstract,Takeaway,Teaching_(1-3),Teaching_Explanation,Evaluating_(1-3),Evaluating_Explanation,Design_(1-3),Design_Explanation,Explainability_(1-3),Explainability_Explanation
PUMICE: A Multi-Modal Agent that Learns Concepts and Conditionals from Natural Language and Demonstrations,https://doi.org/10.1145/3332165.3347899,0.0,2019,"Toby Jia-Jun, Marissa Radensky, Justin Jia, Kirielle Singarajah, Tom M. Mitchell, Brad A. Myers","Natural language programming is a promising approach to enable end users to instruct new tasks for intelligent agents. However, our formative study found that end users would often use unclear, ambiguous or vague concepts when naturally instructing tasks in natural language, especially when specifying conditionals. Existing systems have limited support for letting the user teach agents new concepts or explaining unclear concepts. In this paper, we describe a new multi-modal domain-independent approach that combines natural language programming and programming-by-demonstration to allow users to first naturally describe tasks and associated conditions at a high level, and then collaborate with the agent to recursively resolve any ambiguities or vagueness through conversations and demonstrations. Users can also define new procedures and concepts by demonstrating and referring to contents within GUIs of existing mobile apps. We demonstrate this approach in PUMICE, an end-user programmable agent that implements this approach. A lab study with 10 users showed its usability.",0,0,0.0,0,0.0,0.0,0.0,0,0.0
A Systematic and Generalizable Approach to the Heuristic Evaluation of User Interfaces,https://doi.org/10.1080/10447318.2018.1424101,0.0,2018,"David Alonso-Ríos, Eduardo Mosqueira-Rey & Vicente Moret-Bonillo","Heuristic evaluation is one of the most actively used techniques for analyzing usability, as it is quick and inexpensive. This technique is based on following a given set of heuristics, which are typically defined as broad rules of thumb. In this paper, we propose a systematic and generalizable approach to this type of evaluation based on using comprehensive taxonomies as a source for the heuristics. This approach contrasts with other typical approaches, such as following (or adapting) Jakob Nielsen’s heuristics or creating ad hoc heuristics (formally or informally). The usefulness of our approach is investigated in two ways. Firstly, we carry out an actual heuristic evaluation of a mobile app in this manner, which we describe in detail. Secondly, we compare our approach and Nielsen’s. Additionally, we identify some limitations in Nielsen’s heuristics and some inconsistencies between them and established usability models, including Nielsen’s own.",0,0,0.0,0,0.0,0.0,0.0,0,0.0
The state of the art in automating usability evaluation of user interfaces,https://doi.org/10.1145/503112.503114,0.0,2001,MELODY Y. IVORY AND MARTI A. HEARST,"Usability evaluation is an increasingly important part of the user interface designprocess. However, usability evaluation can be expensive in terms of time and humanresources, and automation is therefore a promising way to augment existingapproaches. This article presents an extensive survey of usability evaluation methods,organized according to a new taxonomy that emphasizes the role of automation. Thesurvey analyzes existing techniques, identifies which aspects of usability evaluationautomation are likely to be of use in future research, and suggests new ways to expandexisting approaches to better support usability evaluation.",0,0,0.0,0,0.0,0.0,0.0,0,0.0
Software Prototype for the Ensemble of Automated Accessibility Evaluation Tools,https://link.springer.com/chapter/10.1007/978-3-031-06417-3_71,0.0,2022,Peter Johnson & Mariana Lilley,"Web accessibility evaluation is concerned with assessing the extent to which web content meets accessibility guidelines. Web accessibility evaluation is typically conducted using manual inspection, user testing and automated testing. The process of automating aspects of accessibility evaluation is of interest to accessibility evaluation practitioners due to manual evaluations requiring substantial time and effort [1]. The use of multiple evaluation tools is recommended [9, 9]; however, aggregating and summarising the results from multiple tools can be challenging [1].

This paper presents a Python software prototype for the automatic ensemble of web accessibility evaluation tools. The software prototype performs website accessibility evaluations against the WCAG 2.1 AA guidelines by utilising a combination of four free and commercial evaluation tools. The results from the tools are aggregated and presented in a report for evaluation.

The tool enables practitioners to benefit from a coherent report of the findings of different accessibility conformance testing tools, without having to run each separately and then manually combine the results of the tests. Thus, it is envisaged that the tool will provide practitioners with reliable data about unmet accessibility guidelines in an efficient manner.",0,0,0.0,0,0.0,0.0,0.0,0,0.0
Automated Tools for Usability Evaluation: A Systematic Mapping Study,https://link.springer.com/chapter/10.1007/978-3-031-05061-9_3,0.0,2022,"John W. Castro, Ignacio Garnica, & Luis A. Rojas","Usability is one of the most critical indicators in determining the quality of a software product. It corresponds to how users can use a software system to achieve specific objectives with effectiveness, efficiency, and satisfaction. A usability evaluation is necessary to ensure that the software system is usable, but this has certain disadvantages (e.g., a high cost of time and budget for the evaluation to be implemented). While these disadvantages can be a bit daunting despite the benefits they provide, some tools can automatically generate and support usability testing. We conducted a systematic mapping study to identify the tools that support automatic usability evaluation. We identified a total of 15 primary studies. In addition, we classify the tools into four categories: measure usability, support usability evaluation, detect usability problems, and correct usability problems. We identified that the automatic evaluation of the usability of web platforms and mobile devices is the most interesting.",0,0,0.0,0,0.0,0.0,0.0,0,0.0
Feedback Generation for Automatic User Interface Design Evaluation,https://link.springer.com/chapter/10.1007/978-3-031-11513-4_4,0.0,2021,Jenny Ruiz & Monique Snoeck,"aroviding individual feedback is remarkable: it is a time-consuming task and requires a fair amount of expertise. This paper presents the Feedback ENriched user Interface Simaaaaulation (FENIkS) as a solution to this problem. FENIkS is a UI design simulation tool, based on model-driven engineering. The students design the UI through different models while automatically receiving feedback on how deign principles have been applied through several options. From the models it is possible to generate a working prototype, enriched with feedback that explains the application of design principles. This paper describes the foundations of FENIkS for the automatic UI design evaluation that further allows generating automatic feedback. It explains FENIkS’ design: the meta-model and how design options, design principles and types of feedback are used to automatically generate feedback. The perceived usability was positive evaluated. The results of the experimental evaluation demonstrated that FENIkS improves students’ understanding of design principles.
                    
                    
                    
                    ",https://link.springer.com/chapter/10.1007/978-3-031-11513-4_4/tables/3,0,0.0,0,0.0,0.0,0.0,0,0.0
Deep learning for automatic usability evaluations based on images: A case study of the usability heuristics of thermostats,https://doi.org/10.1016/j.enbuild.2017.12.043,0.0,2018,"Pedro Ponce, David Balderas, Therese Peffer, Arturo Molina","Thermostats are designed for increasing requirements on indoor thermal comfort. Nevertheless, they are critical devices for saving energy in buildings and households. However, when thermostats do not accomplish the usability requirements, the end-users do not save energy. Then, when a thermostat is designed or validated, one of the leading problems that must be tackled is the usability evaluation. Generally, the evaluation is based on usability heuristics that are done by experts and designers and involve a very complicated cycling process in which usability experts need to be included in the complete usability evaluation. On the other hand, there are several proposals for generating an automatic usability analysis that can be used by designers or end-users. However, they are limited by the methodologies that are implemented in the evaluation because usability evaluations necessitate a large amount of data abstraction, and the amount of processed information is enormous; As an alternative, Artificial Intelligence can help to solve this problem, especially machine learning techniques with deep learning capabilities that can reach a high level of data abstraction with a significant amount of information and implement an automatic usability evaluation based on images. Convolutional networks that are included in deep learning can classify complex problems, attain highly accurate results. This paper proposes to train a convolutional network with standard usability heuristics for evaluating usability, which is an easy method for evaluating usability in thermostats, based on images. The proposed automatic method gives excellent results for evaluating usability heuristics in the heuristic assigned. This paper provides a complete methodology, using deep learning, for automatically evaluating the usability heuristics of thermostats.",0,0,0.0,0,0.0,0.0,0.0,0,0.0
A method and advisor tool for multimedia user interface design,https://doi.org/10.1016/j.ijhcs.2005.08.016,0.0,2005,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0
"Sara Bunian, Kai Li, Chaima Jemmali, Casper Harteveld, Yun Fu, and Magy Seif
El-Nasr. 2021. VINS: Visual Search for Mobile User Interface Design.",0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
LoFi Sketch: A Large Scale Dataset of Smartphone Low Fidelity Sketches,https://dl.acm.org/doi/10.1145/3491101.3519624,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Bridging the Gap Between UX Practitioners’ Work Practices and AI-Enabled Design Support Tools,https://dl.acm.org/doi/10.1145/3491101.3519809,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
"Chunyang Chen, Ting Su, Guozhu Meng, Zhenchang Xing, and Yang Liu.
2018. From UI Design Image to GUI Skeleton: A Neural Machine Transla-
tor to Bootstrap Mobile GUI Implementation",https://doi.org/10.1145/3180155.3180240,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
"An
Inventory and Predictions on the Use of Machine Learning Techniques for UX
Research",https://doi.org/10.1145/3419249.3420163,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Wordcraft: a Human-AI Collaborative Editor for Story Writing,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
"Translational Resources: Reducing the Gap Between Academic Research and HCI
Practice",https://doi.org/10.1145/3064663.3064667,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
"Rapidly
exploring application design through speed dating",https://doi.org/10.1007/978-3-540-74853-3_25,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
"Empirically Studying Participatory Sense-Making in Abstract
Drawing with a Co-Creative Cognitive Agent",https://doi.org/10.1145/2856767.2856795,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
"A Com-
puter Vision Tool to Generate Code Automatically from Graphical User Interface
Sketches",0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
"Akin: Generating UI Wireframes From UI Design Patterns Using Deep
Learning.",https://doi.org/10.1145/3397482.3450727,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
"Metaphoria: An algorithmic compan-
ion for metaphor creation.",0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
FIND MORE HERE: https://dl.acm.org/doi/pdf/10.1145/3491101.3519809 and HERE: https://web.eecs.umich.edu/~xwanghci/papers/CHI21_expertblindspot.pdf,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
"Line of work from Amy Ko -- uncertainty in space, critiques and workshops",0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
Programming tutor (python),"
                        <a href=""https://web.eecs.umich.edu/~xwanghci/papers/CHI21_expertblindspot.pdf"">https://web.eecs.umich.edu/~xwanghci/papers/CHI21_expertblindspot.pdf</a>
                    ",0.0,0,0,0,0,0,0.0,0,0.0,Here is some text<br>,0.0,0,0.0
Supple Gajos et al.,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
